# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
3.610860000000000E+009;-4.948659010423388E+001;-1.379656504308308E+002;
3.610865000000000E+009;-4.952395067595261E+001;-1.379166934759472E+002;
3.610870000000000E+009;-4.954851262132985E+001;-1.375597918489278E+002;
3.610875000000000E+009;-4.945049657041071E+001;-1.379741361079226E+002;
3.610880000000000E+009;-4.943656788460716E+001;-1.373913763290331E+002;
3.610885000000000E+009;-4.944237912006743E+001;-1.383072631089524E+002;
3.610890000000000E+009;-4.954946593248145E+001;-1.383822331059088E+002;
3.610895000000000E+009;-4.966241092532056E+001;-1.381655155133583E+002;
3.610900000000000E+009;-4.950381206591378E+001;-1.378103644234022E+002;
3.610905000000000E+009;-4.955514101761377E+001;-1.383409019237925E+002;
3.610910000000000E+009;-4.956389264193881E+001;-1.381450201425573E+002;
3.610915000000000E+009;-4.942409036416468E+001;-1.380336968807374E+002;
3.610920000000000E+009;-4.950467810671069E+001;-1.385823972976033E+002;
3.610925000000000E+009;-4.955803931423007E+001;-1.382351077931983E+002;
3.610930000000000E+009;-4.960545615094803E+001;-1.382348358251005E+002;
3.610935000000000E+009;-4.956251281710368E+001;-1.383177817915551E+002;
3.610940000000000E+009;-4.945145243265576E+001;-1.385213320396367E+002;
3.610945000000000E+009;-4.947475962410444E+001;-1.386776749391459E+002;
3.610950000000000E+009;-4.945847809227917E+001;-1.385545050649218E+002;
3.610955000000000E+009;-4.945300947512975E+001;-1.385491100836719E+002;
3.610960000000000E+009;-4.951936637702674E+001;-1.390099749329575E+002;
3.610965000000000E+009;-4.953575012756442E+001;-1.390806463099632E+002;
3.610970000000000E+009;-4.953210797290306E+001;-1.385481326612853E+002;
3.610975000000000E+009;-4.956484697692081E+001;-1.383359832704126E+002;
3.610980000000000E+009;-4.954576137909567E+001;-1.385958393923706E+002;
3.610985000000000E+009;-4.953853958030499E+001;-1.386713668908380E+002;
3.610990000000000E+009;-4.944605733069955E+001;-1.385704989995673E+002;
3.610995000000000E+009;-4.948448219162110E+001;-1.390426848620225E+002;
3.611000000000000E+009;-4.944087566246562E+001;-1.390546519253323E+002;
3.611005000000000E+009;-4.949524848311653E+001;-1.390533033961383E+002;
3.611010000000000E+009;-4.960245593745064E+001;-1.389883183261962E+002;
3.611015000000000E+009;-4.945706538904156E+001;-1.390818151378385E+002;
3.611020000000000E+009;-4.953763772988167E+001;-1.393221907506856E+002;
3.611025000000000E+009;-4.943054669379649E+001;-1.387309448749720E+002;
3.611030000000000E+009;-4.954681733053522E+001;-1.394569503561029E+002;
3.611035000000000E+009;-4.953113547186953E+001;-1.396914431957735E+002;
3.611040000000000E+009;-4.940271897738903E+001;-1.397406961504991E+002;
3.611045000000000E+009;-4.950608865346045E+001;-1.396987018022809E+002;
3.611050000000000E+009;-4.952008259372509E+001;-1.395422988637735E+002;
3.611055000000000E+009;-4.950054050885161E+001;-1.393895609533157E+002;
3.611060000000000E+009;-4.949807274162219E+001;-1.398328132765606E+002;
3.611065000000000E+009;-4.947601299144372E+001;-1.395481426165038E+002;
3.611070000000000E+009;-4.951924952465227E+001;-1.396463677860425E+002;
3.611075000000000E+009;-4.954310914078523E+001;-1.395516809489493E+002;
3.611080000000000E+009;-4.951062840269363E+001;-1.400781547886557E+002;
3.611085000000000E+009;-4.941422108422459E+001;-1.398219102288121E+002;
3.611090000000000E+009;-4.938832891509770E+001;-1.394358064613512E+002;
3.611095000000000E+009;-4.943790968893124E+001;-1.399298560830195E+002;
3.611100000000000E+009;-4.950295607083662E+001;-1.396114840214623E+002;
3.611105000000000E+009;-4.951996493498132E+001;-1.398915585575962E+002;
3.611110000000000E+009;-4.944977016757751E+001;-1.400492747734904E+002;
3.611115000000000E+009;-4.957707696655565E+001;-1.400990289036569E+002;
3.611120000000000E+009;-4.953322041499173E+001;-1.402441326082973E+002;
3.611125000000000E+009;-4.955151320248366E+001;-1.399578164180983E+002;
3.611130000000000E+009;-4.945582053105301E+001;-1.397906736221243E+002;
3.611135000000000E+009;-4.949836217152115E+001;-1.397251378235970E+002;
